Mfcc0;Mfcc1;Mfcc2;Mfcc3;Mfcc4;Mfcc5;Mfcc6;Mfcc7;Mfcc8;Mfcc9;Mfcc10;Mfcc11;Mfcc12;Mfcc13;Mfcc14;Mfcc15;Mfcc16;Mfcc17;Mfcc18;Mfcc19;Mfcc20;Mfcc21;Mfcc22;Mfcc23;Mfcc24;Mfcc25;Mfcc26;Mfcc27;Mfcc28;Mfcc29;Mfcc30;Mfcc31;Mfcc32;Mfcc33;Mfcc34;Mfcc35;Mfcc36;Mfcc37;Mfcc38;Mfcc39;Mfcc40;Mfcc41;Mfcc42;Mfcc43;Mfcc44;Mfcc45;Mfcc46;Mfcc47;Mfcc48;Mfcc49;Mfcc50;Mfcc51;Mfcc52;Mfcc53;Mfcc54;Mfcc55;Mfcc56;Mfcc57;Mfcc58;Mfcc59;Mfcc60;Mfcc61;Mfcc62;Mfcc63;Mfcc64;Mfcc65;Mfcc66;Mfcc67;Mfcc68;Mfcc69;frame_energy;frame_zcr;frame_pitch;emotion;wav_files
24.5661;23.4301;29.4694;29.4352;29.6328;26.3892;16.1996;16.3299;24.697;25.7406;21.6081;22.392;20.8831;14.873;7.71845;12.3876;17.5371;18.6206;19.9703;19.9307;16.4643;6.83463;12.1743;12.2077;6.49157;4.7896;2.45279;-0.828544;-0.945728;-1.50016;3.51404;-1.54865;-3.49931;4.95368;13.637;14.5714;16.8245;13.7765;7.6644;7.16938;9.08386;10.3863;16.931;15.6314;10.9484;4.8845;-4.37285;-2.59339;0.0612539;0.735545;0.882585;14.0695;22.3818;29.3616;30.1266;18.5517;9.73786;12.9665;10.7461;10.2979;11.603;12.1606;10.1461;10.7726;8.4614;10.6551;15.4258;16.0647;12.5654;11.4096;3343.45019531;0.0422895178199;173.868377686;L;12a07La.wav
18.3441;26.334;26.119;27.367;28.9117;21.7728;19.9644;16.6008;15.6513;13.003;5.99057;8.58465;12.1132;10.0465;6.33577;7.24619;12.2115;7.81909;6.92441;6.53052;16.8834;15.1149;14.1089;7.83722;10.9564;11.0026;11.9215;12.1084;10.7932;16.011;8.62693;25.0144;15.1669;20.439;15.3454;17.363;11.678;6.36851;9.5683;12.8867;9.84832;18.499;23.5111;14.3675;8.76084;13.7105;13.2164;1.65757;4.53381;2.68974;4.54133;3.58953;-0.739889;9.43943;14.9907;19.4631;14.7226;15.8919;3.49842;14.6035;13.096;16.7671;15.2504;20.1917;21.5988;20.6515;21.088;18.5089;11.7679;4.23855;1799.46386719;0.0483593344688;169.10635376;A;11b02Ab.wav
16.4169;21.1618;11.1639;16.3448;19.4965;11.4906;8.25284;18.4804;22.5123;23.5822;23.8942;18.8823;15.1764;21.1114;22.5479;19.3579;14.5437;12.1519;10.0882;8.36974;9.20169;15.0203;9.14661;9.31133;7.08248;10.0006;10.6076;10.7915;12.02;14.0426;16.671;18.9114;18.3273;13.8094;3.53597;8.29389;10.1983;9.513;11.8963;14.4513;17.0946;13.6343;12.2072;4.94812;11.3892;14.8516;23.0025;26.0207;25.6978;20.3844;20.7002;22.8912;23.0893;27.5921;24.7472;24.7211;6.59816;16.8819;7.4716;6.73497;8.70556;0.206074;10.7288;20.6337;26.6156;23.2194;3.83774;5.01265;11.2243;16.2205;2688.24023438;0.030322059989;135.794143677;N;11b09Na.wav
30.0934;28.6417;25.1956;29.9843;24.5169;28.3639;22.4432;8.84101;7.60957;11.4861;12.5346;11.7402;5.27494;11.7189;9.22682;9.36961;11.8445;12.2149;11.5795;12.4084;15.3563;-1.75216;7.15609;6.92854;3.8128;5.48648;4.35944;6.26173;11.694;9.00914;5.86531;13.641;11.9824;11.0682;6.08881;10.6413;11.6609;11.4168;10.0078;14.4126;11.2781;8.04479;8.50434;5.28919;8.00667;18.0424;7.70386;11.1226;9.80893;11.5013;10.8385;13.2456;23.4458;19.156;20.1409;15.6622;17.2271;15.6604;18.9499;17.5495;17.3037;18.9451;12.8839;12.486;14.941;8.04933;9.72969;5.31031;5.53583;8.05209;4481.953125;0.0417225174606;200.100540161;E;13b09Ec.wav
21.247;17.0386;21.287;21.541;14.5994;17.7169;17.2655;16.2772;10.0927;1.41049;-5.758;-4.52424;-5.27151;-4.4253;-6.72386;-3.08081;-3.64897;-2.39403;-2.59063;-3.04385;-4.47454;-0.467209;-2.25651;-11.6444;-15.3498;-11.3942;-15.6325;-9.49896;-12.4183;-10.4586;5.70837;22.2852;20.6966;18.4878;13.8249;19.8553;20.5292;10.9975;12.8347;10.6303;-8.03369;-7.40109;-5.69398;-3.47792;-0.737657;-9.59942;-1.62388;9.73054;10.5379;8.5086;6.77268;7.39893;7.2256;7.61222;2.94127;-7.49485;-8.35287;-9.0877;-7.12282;-4.42801;3.48644;4.34855;2.00743;-2.06535;-0.320106;-0.440455;-2.22728;-3.95119;7.73003;15.6614;801.162231445;0.0589955151081;251.414077759;E;14a04Ed.wav
33.3292;24.1119;28.4074;25.6022;32.5931;30.7584;26.8084;27.6697;26.9969;24.0673;9.73771;15.1859;5.50282;-0.231094;-0.4613;-4.08707;3.83569;12.2607;10.7972;11.2038;5.48633;6.43427;5.91555;13.5703;15.0411;22.5579;22.1758;13.8765;10.5397;8.56066;5.8782;5.16824;7.6365;7.28655;7.62713;7.72652;4.92823;9.0363;7.90185;10.1019;13.9785;12.1449;12.7719;10.4759;8.76408;5.38606;-0.521499;0.88414;3.49706;4.07581;2.51154;4.00339;-1.03492;4.17318;2.99167;1.64893;7.3447;16.5412;19.2935;11.7736;8.80871;12.0144;12.7544;12.9773;11.6419;4.91546;3.11596;7.04687;17.6968;24.3208;3139.04248047;0.0312286298722;222.28024292;N;08a02Na.wav
22.0184;24.636;24.8864;27.62;27.9669;23.6419;24.9326;22.2231;16.4705;14.9673;12.9333;15.9567;17.9889;19.9998;11.5718;14.3129;12.8132;12.1678;10.4211;7.11229;4.76567;5.16187;4.1889;4.07154;6.84186;11.1293;12.5136;11.8982;10.0854;13.0196;13.5158;14.0983;5.54944;8.4856;9.97999;10.8079;12.6709;10.628;8.94121;13.4698;17.291;23.0182;30.3644;2.45471;11.1433;14.1154;10.897;5.9841;6.99912;5.76157;-0.117203;4.89876;4.84235;4.18236;-0.0596951;-4.03937;18.3077;15.7464;10.4719;3.49269;9.83721;12.8838;18.0935;17.3782;11.7111;13.3622;12.473;16.0865;11.3123;7.82052;4110.71337891;0.0329852774739;212.301315308;N;13b02Nb.wav
25.3978;25.877;22.9743;25.1751;23.177;21.9283;21.2848;21.8006;22.8784;24.1635;22.0623;21.4293;21.9854;24.8562;27.141;24.3385;21.9767;25.5025;26.8838;28.9719;29.8143;28.5738;25.0129;17.8557;18.8838;23.9008;23.7315;21.1321;21.3668;22.1019;25.3;28.9793;28.9051;28.8148;27.95;27.4435;26.8468;26.8646;28.9369;27.1666;24.556;25.0662;26.8617;24.7805;20.2791;19.4823;21.2276;23.9078;23.651;22.9633;20.4303;17.531;21.4213;26.5571;24.6146;25.0653;16.9992;15.6832;16.5699;17.5678;17.7306;21.7678;21.651;20.5518;22.4405;23.0248;21.3162;22.2166;18.5881;21.7357;2543.73535156;0.0210258010775;126.246650696;T;12b03Ta.wav
16.7867;20.6231;22.9569;26.8788;26.4345;20.8501;25.8739;17.4527;18.1953;17.1459;13.0393;13.3861;13.4891;12.5152;6.66288;7.52904;3.74185;3.0343;3.0232;10.1546;19.036;11.0626;10.5341;15.0827;9.35553;1.51291;6.31674;5.31028;5.51235;5.13148;11.6572;16.1964;14.216;21.8498;14.385;16.3349;12.9944;6.4914;5.58896;9.11671;15.7621;15.517;25.0849;24.2891;25.1315;22.1409;15.4728;20.6261;18.5957;16.49;15.2221;14.0252;9.22703;8.52112;13.9434;17.0121;21.8713;20.0121;27.9486;23.5521;16.6743;28.5948;25.1643;21.4015;23.4553;18.6241;15.7779;13.0411;15.0288;15.7457;1274.66223145;0.0401497222483;235.613494873;N;09a05Nb.wav
28.4131;17.2424;3.28673;8.60682;5.69356;-0.942985;3.20197;1.61722;2.55847;3.18188;6.29422;11.4775;9.59453;11.6206;5.98461;9.6826;-0.236268;1.66888;2.70497;-0.729899;-2.07074;3.63556;9.749;18.3317;9.78368;10.6956;6.63504;5.00149;4.47782;6.6904;3.91613;4.64823;8.16669;9.11813;13.1519;11.4219;9.64362;10.9256;9.24772;12.1122;12.2272;9.93856;7.97262;8.06533;8.90915;5.08761;6.50078;5.68625;10.8248;5.12005;4.49914;2.60075;4.29246;5.22713;9.93633;11.911;21.8433;21.54;19.458;21.6449;19.8943;18.9807;19.1596;16.3354;11.9903;11.1106;10.777;19.2265;28.5982;28.7805;2370.72241211;0.046361155808;155.740570068;E;11a02Ec.wav
12.9393;15.7953;18.2688;20.3623;18.2585;11.4398;5.07472;11.6533;2.80236;3.47366;4.69208;7.63924;6.78897;5.88133;2.93486;-7.86773;2.28815;5.12926;3.38439;8.79035;9.84109;8.64825;14.6885;14.8644;10.142;9.80059;5.30209;2.46673;-1.85366;-8.9746;-16.1605;-20.739;-20.3495;-19.5239;-18.787;-13.7125;-8.69168;-8.00962;-2.23727;-10.4191;-1.00566;-2.12609;3.31248;3.05064;2.53013;-0.505928;-3.94479;0.0522795;-0.559644;5.98684;-0.864077;-8.85287;-15.2933;-11.2173;-10.0557;-13.3763;-7.91746;-3.56192;-10.2438;-6.39773;-3.28329;9.07072;13.9444;7.86611;5.15971;11.4751;6.54703;-5.369;-9.54114;-17.5123;1003.28173828;0.0630421712995;443.965515137;W;08a07Wc.wav
